id;matricula;marca;modelo;anyo;estado
1;user-centric Cambridgeshire Hogar;multitarea Monte;Violeta;2021-05-14;Revisado
2;Salchichas;innovative Relacciones;Bedfordshire Sopa;2021-05-14;Revisado
3;array;morph;leverage circuit;2021-05-14;Reparando
4;Edificio invoice;Iceland Avon Home;systems transmitting deposit;2021-05-15;NoRevisado
5;application Savings payment;Jefe;synergize Usabilidad;2021-05-14;Finalizado
6;navigating programming;withdrawal Aplicaciones SMTP;sensor;2021-05-14;Finalizado
7;Dinamarca;Personal Rusia;Loan nivel Buckinghamshire;2021-05-14;Finalizado
8;withdrawal;tangible;Madrid Comunidad;2021-05-15;Revisado
9;Loan;Salud XSS;Grecia abierta;2021-05-15;Finalizado
10;Métricas;Algodón Card intuitive;Puerta;2021-05-14;Revisado
