id;nombre;apellido;d_ni;telefono;correo
1;Librería;Mali;scale;Bricolaje Cambridgeshire vertical;Dollar Kip channels
2;Obligatorio Director;Nakfa models Acero;withdrawal;Islandia Sorprendente;línea Persistente Escalinata
3;Atún Suriname;Jardines;synergistic experiences markets;frictionless;Amarillo
4;Mobilidad Cataluña de;communities;Granito;Siria USB;Informática
5;Música Pelota Haiti;paralelismo;technologies Castilla;Partida;Regional
6;vortals Electrónica;Sterling;solid generating maximize;Director;deposit copying
7;Cambridgeshire Región artificial;matrix;Librería embrace;solutions Sincronizado;Decoración relationships
8;multi-byte Avon;Granito killer;estable Sabroso e-business;codificar Checa Papelería;connect
9;solid Genérico;input Azul for;Ejecutivo Municipio;Bacon Castilla-La;Global
10;Futuro;cultivate;Aplicaciones solid Violeta;Conjunto;Account Morado Sorprendente
